,name,red,yellow,blue,green,cost,body
1,Power,5,2,,,,
2,Speed,2,5,,,,
3,Power Attack,4,2,,,2,Red Attack strength X+3; basic wound
4,Precise Strike,1,4,,,2,Yellow Attack strength X; ignore 1 armor; basic wound
5,Quick Attack,2,3,,,1,Yellow Attack strength X+1; basic wound
6,Attack,3,2,,,1,Red Attack strength X+2; basic wound
7,Dodge,1,3,,,,When defending from hand:; Defense X+4; Yellow defends Red or Yellow; No Armor
8,Parry,2,4,,,,When defending from hand:;  Yellow defends Red or Yellow
9,Endure,1,0,,,, Defense: +4 strength
10,Pressing Attack,4,1,,,,Red Attack strength X; basic wound; can spend this for attack next turn
11,Consistent Attack,2,2,,,1,"Red Attack Strength X+2;  Option: recover to hand instead of; expending, expend your first draw"
12,Make Opportunity,3,3,,,,When you defend this from hand; you may use it as resource; for an attack next turn
13,Clumsy Attack,3,1,,,2,Red Attack strength X+2; basic wound
14,Backswing,3,2,,,"1, attacked last turn",Red Attack strength X+3; basic wound
15,All in,2,2,,,3,Red Attack strength X+4; basic wound
16,Athletics,4,4,,,,
17,Bully,2,2,,,1,Red Attack strength X; basic wound; target must expend a card; to attack next round
18,Fencing,2,3,,,1,Yellow Attack strength X; basic wound; you may also apply fencing to; defense this round
19,Feint,1,3,,,1,Yellow Attack strength X+4; Target must expend 1/2/3 additional; cards to defend against you next turn
20,Efficient Attack,2,3,,,2,Yellow Attack strength X; basic wound; reclaim 1 resource form this attack to; your hand
